# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_upstream_gene_variant
IV00_00000001	IV00_00000001	IV00_00000001-RA	protein_coding	0	0	0	28	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	8
IV00_00000003	IV00_00000003	IV00_00000003-RA	protein_coding	0	0	0	70	0	0	0	0	0	0	0	32	0	0	23	0	0	0	0	0	0	0	0	15
IV00_00000006	IV00_00000006	IV00_00000006-RA	protein_coding	0	0	0	97	0	0	0	0	0	0	0	21	0	0	45	0	0	0	0	0	0	0	0	31
IV00_00000009	IV00_00000009	IV00_00000009-RA	protein_coding	0	0	0	65	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	44
IV00_00000010	IV00_00000010	IV00_00000010-RA	protein_coding	1	0	0	150	0	0	0	0	0	0	0	30	0	1	86	0	0	0	0	0	0	0	0	34
IV00_00000011	IV00_00000011	IV00_00000011-RA	protein_coding	1	0	0	112	0	0	0	0	0	0	0	32	0	1	54	0	0	0	0	0	0	0	0	26
IV00_00000015	IV00_00000015	IV00_00000015-RA	protein_coding	2	3	0	82	0	0	0	0	0	0	0	29	0	2	46	0	0	0	3	0	0	0	0	10
IV00_00000021	IV00_00000021	IV00_00000021-RA	protein_coding	1	0	0	74	0	0	0	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	0	26
IV00_00005658	IV00_00005658	IV00_00005658-RA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00010180	IV00_00010180	IV00_00010180-RA	protein_coding	0	0	0	33	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	18
IV00_00010181	IV00_00010181	IV00_00010181-RA	protein_coding	4	0	1	87	0	0	0	0	0	0	1	4	0	3	69	0	0	1	0	0	0	1	0	15
IV00_00010184	IV00_00010184	IV00_00010184-RA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
IV00_00010186	IV00_00010186	IV00_00010186-RA	protein_coding	0	0	0	37	0	0	0	0	0	0	0	14	0	0	12	0	0	0	0	0	0	0	0	11
IV00_00010187	IV00_00010187	IV00_00010187-RA	protein_coding	3	1	0	37	0	0	0	1	0	0	0	12	0	2	6	0	1	0	3	0	0	0	0	21
IV00_00010188	IV00_00010188	IV00_00010188-RA	protein_coding	0	0	0	58	0	0	0	0	0	0	0	21	0	0	9	0	0	0	0	0	0	0	0	28
IV00_00010189	IV00_00010189	IV00_00010189-RA	protein_coding	3	0	0	75	0	0	0	0	0	0	0	36	0	3	8	0	0	0	0	0	0	0	0	31
IV00_00010190	IV00_00010190	IV00_00010190-RA	protein_coding	4	0	1	39	0	0	0	0	1	0	0	24	0	4	0	0	0	0	0	0	0	0	0	15
IV00_00010191	IV00_00010191	IV00_00010191-RA	protein_coding	2	1	1	40	0	0	3	1	0	0	0	31	0	2	4	0	0	0	1	0	0	0	0	3
IV00_00010192	IV00_00010192	IV00_00010192-RA	protein_coding	0	0	0	21	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	4
IV00_00010193	IV00_00010193	IV00_00010193-RA	protein_coding	0	0	0	16	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7
IV00_00010195	IV00_00010195	IV00_00010195-RA	protein_coding	9	1	3	13	0	0	0	1	0	1	1	7	0	9	2	0	0	1	2	0	0	0	0	6
IV00_00010198	IV00_00010198	IV00_00010198-RA	protein_coding	5	0	0	52	0	0	0	0	0	0	0	30	0	5	5	0	0	0	0	0	0	0	0	17
IV00_00010199	IV00_00010199	IV00_00010199-RA	protein_coding	0	0	0	33	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	14
IV00_00010200	IV00_00010200	IV00_00010200-RA	protein_coding	0	0	0	17	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00010201	IV00_00010201	IV00_00010201-RA	protein_coding	4	0	0	17	0	0	0	0	0	0	0	2	0	4	11	0	0	0	0	0	0	0	0	4
IV00_00010202	IV00_00010202	IV00_00010202-RA	protein_coding	0	0	0	18	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9
IV00_00010204	IV00_00010204	IV00_00010204-RA	protein_coding	1	0	0	8	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	6
IV00_00010205	IV00_00010205	IV00_00010205-RA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00010206	IV00_00010206	IV00_00010206-RA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
IV00_00010207	IV00_00010207	IV00_00010207-RA	protein_coding	10	0	4	72	0	0	0	0	1	2	1	11	0	10	35	0	0	0	0	0	0	0	0	26
IV00_00010210	IV00_00010210	IV00_00010210-RA	protein_coding	10	0	0	46	0	0	0	0	0	0	0	24	0	10	0	0	0	0	0	0	0	0	0	22
IV00_00010213	IV00_00010213	IV00_00010213-RA	protein_coding	1	0	0	74	0	0	0	0	0	0	0	34	0	1	6	0	0	0	0	0	0	0	0	34
IV00_00010214	IV00_00010214	IV00_00010214-RA	protein_coding	5	0	1	72	0	0	5	1	0	0	0	28	0	5	21	0	0	0	0	0	0	0	0	18
IV00_00010251	IV00_00010251	IV00_00010251-RA	protein_coding	13	2	3	56	0	0	0	0	0	0	3	19	0	13	30	0	0	1	3	0	0	2	0	10
IV00_00010253	IV00_00010253	IV00_00010253-RA	protein_coding	5	0	1	52	0	0	0	0	1	0	0	16	0	5	17	0	0	0	0	0	1	0	0	19
IV00_00010258	IV00_00010258	IV00_00010258-RA	protein_coding	1	0	0	75	0	0	0	0	0	0	0	22	0	1	20	0	0	0	1	0	0	0	0	33
IV00_00010259	IV00_00010259	IV00_00010259-RA	protein_coding	10	0	1	71	8	0	0	0	0	0	1	47	0	10	3	0	0	0	0	0	1	0	0	13
IV00_00010262	IV00_00010262	IV00_00010262-RA	protein_coding	3	0	0	120	0	0	0	0	0	0	0	33	0	3	62	0	0	0	0	0	0	0	0	25
IV00_00010276	IV00_00010276	IV00_00010276-RA	protein_coding	10	0	3	54	0	0	0	1	2	0	0	36	0	10	1	0	0	0	0	0	0	1	0	17
IV00_00010278	IV00_00010278	IV00_00010278-RA	protein_coding	15	1	2	94	0	0	0	0	2	0	0	19	0	15	59	0	0	0	3	0	0	0	0	17
IV00_00010296	IV00_00010296	IV00_00010296-RA	protein_coding	3	0	2	63	0	0	0	0	0	2	0	30	0	3	0	0	0	0	0	0	0	0	0	33
IV00_00010299	IV00_00010299	IV00_00010299-RA	protein_coding	4	2	0	39	0	0	0	0	0	0	0	21	0	4	7	0	0	0	2	0	0	0	0	13
IV00_00010301	IV00_00010301	IV00_00010301-RA	protein_coding	1	0	0	57	0	0	0	0	0	0	0	14	0	1	24	0	0	0	0	0	0	0	0	19
IV00_00010302	IV00_00010302	IV00_00010302-RA	protein_coding	2	1	2	111	0	0	0	0	1	1	0	16	0	2	75	0	0	0	2	0	0	1	0	21
IV00_00010304	IV00_00010304	IV00_00010304-RA	protein_coding	7	1	0	79	0	0	0	0	0	0	0	21	0	7	52	0	0	0	1	0	0	0	0	7
IV00_00010334	IV00_00010334	IV00_00010334-RA	protein_coding	4	0	1	141	0	0	0	1	0	0	0	42	0	3	70	0	0	1	0	0	0	0	0	30
IV00_00010336	IV00_00010336	IV00_00010336-RA	protein_coding	0	0	0	103	0	0	0	0	0	0	0	32	0	0	31	0	0	0	0	0	0	0	0	40
IV00_00010370	IV00_00010370	IV00_00010370-RA	protein_coding	3	0	0	67	0	0	0	0	0	0	0	20	0	3	14	0	1	0	1	0	0	0	0	34
IV00_00010373	IV00_00010373	IV00_00010373-RA	protein_coding	3	0	1	45	0	0	0	1	0	1	0	8	0	2	15	0	0	0	0	0	0	1	0	22
IV00_00010373	IV00_00010373	IV00_00010373-RB	protein_coding	0	0	0	61	0	0	0	0	0	0	0	25	0	0	0	22	0	0	0	0	0	0	0	14
IV00_00010469	IV00_00010469	IV00_00010469-RA	protein_coding	25	0	4	129	0	0	0	0	1	3	0	52	0	25	63	0	0	0	0	0	0	0	0	14
IV00_00015002	IV00_00015002	IV00_00015002-RA	protein_coding	27	1	6	222	0	0	0	1	1	7	2	41	0	21	164	0	0	5	7	0	1	0	0	23
IV00_00015018	IV00_00015018	IV00_00015018-RA	protein_coding	6	0	0	46	0	0	0	0	0	0	0	18	0	6	0	0	0	0	0	0	0	0	0	28
IV00_00015025	IV00_00015025	IV00_00015025-RA	protein_coding	3	0	1	64	0	0	0	1	0	0	0	31	0	3	3	0	0	0	0	0	0	0	0	30
IV00_00015029	IV00_00015029	IV00_00015029-RA	protein_coding	2	0	0	36	0	0	0	0	0	0	0	5	0	2	4	0	0	0	0	0	0	0	0	27
